DiwanyaFae's Season 3,Scizor-Mega,Jolteon,Swampert,Muk-Alola,Kyurem,Skeledirge,Sylveon,Keldeo,Sigilyph,Lurantis,Furfrou
Alon's Season 3,Chi-Yu,Fezandipiti,Hawlucha,Rhyperior,Tapu Bulu,Slowbro,Excadrill,Dudunsparce,Thundurus,Glimmet,
Kayani's Season 3,Iron Valiant,Metagross,Gliscor,Kangaskhan,Mandibuzz,Grafaiai,Eelektross,Flareon,Araquanid,Sceptile-Mega,Shiftry
frodododo's Season 3,Sneasler,Iron Treads,Pangoro,Latias,Rotom-Heat,Tapu Lele,Slowking,Orthworm,Absol-Mega,Gastrodon,Trevenant
Mario's Season 3,Chien-Pao,Sandy Shocks,Gengar,Starmie,Alakazam-Mega,Ogerpon-Hearthflame,Alomomola,Revavroom,Swellow,Falinks,
Rappy's Season 3,Gouging Fire,Kartana,Scream Tail,Heliolisk,Venusaur,Ninetales,Mamoswine,Hawlucha,Leafeon,Suicune,
Bisharp-Supreme's Season 3,Great Tusk,Deoxys-Defense,Kyurem,Gallade-Mega,Raging Bolt,Moltres,Electrode-Hisui,Muk-Alola,Tinkaton,Spiritomb,Tropius
pandanini's Season 3,Urshifu-Single,Ogerpon-Wellspring,Rotom-Heat,Diggersby,Pecharunt,Jirachi,Noivern,Comfey,Chandelure,Komala,
kingjulian200's Season 3,Gholdengo,Tapu Lele,Latias,Cinderace,Lurantis,Urshifu-Rapid,Gardevoir-Mega,Bisharp,Dusclops,Aurorus,Toucannon
Chugaroo's Season 3,Sneasler,Terapagos,Buzzwole,Mesprit,Hydreigon,Iron Treads,Volcanion,Sylveon,Eelektross,Thwackey,
Bluefox08's Season 3,Lopunny-Mega,Tyranitar,Mew,Claydol,Iron Moth,Tapu Fini,Scizor,Tauros-Paldea-Water,Tsareena,Regieleki,Furret
SomerandomMinecrafter's Season 3,Palafin,Pelipper,Thundurus-Therian,Ursaluna-Bloodmoon,Slither Wing,Golem,Scizor-Mega,Whimsicott,Archaludon,Luvdisc,
Dakipper's Season 3,Landorus-Therian,Hippowdon,Aerodactyl,Ursaring,Excadrill,Magnezone,Gyarados-Mega,Lucario,Flygon,Barbaracle,Dhelmise
etocud's Season 3,Tapu Koko,Gliscor,Melmetal,Skeledirge,Meowscarada,Rotom-Wash,Meloetta,Goodra,Ditto,Floette,
_spooked's Season 3,Chi-Yu,Lilligant-Hisui,Zoroark-Hisui,Donphan,Walking Wake,Torkoal,Roaring Moon,Beedrill-Mega,Dachsbun,Doublade,
Brandon's Season 3,Dragapult,Celesteela,Mandibuzz,Cresselia,Tapu Bulu,Gallade,Nihilego,Entei,Blastoise,Regigigas,
bwitt's Season 3,Darkrai,Fezandipiti,Starmie,Landorus-Therian,Gallade,Sinistcha,Arcanine-Hisui,Magnezone,Rotom-Mow,Tatsugiri,Vulpix-Alola
Mrgameandkirby's Season 3,Iron Bundle,Talonflame,Walking Wake,Meowscarada,Scizor,Drapion,Jolteon,Gligar,Gardevoir,Corsola-Galar,Passimian
brewbjerg's Season 3,Scizor-Mega,Salamence,Thundurus,Sylveon,Aegislash,Volcanion,Hitmontop,Uxie,Grimmsnarl,Espeon,Raticate
Grungus McBungus's Season 3,Lopunny-Mega,Rotom-Wash,Heatran,Tsareena,Azelf,Galvantula,Gliscor,Weezing-Galar,Zoroark-Hisui,Glastrier,Wobbuffet
Artman_Shan's Season 3,Tapu Koko,Celesteela,Infernape,Ribombee,Blastoise-Mega,Donphan,Gastrodon,Accelgor,Zapdos-Galar,Overqwil,Mawile
Whamm's Season 3,Latios,Venusaur-Mega,Iron Treads,Skeledirge,Ting-Lu,Raikou,Lucario,Togekiss,Quagsire,Cloyster,
yujiitadori_'s Season 3,Chi-Yu,Terapagos,Altaria-Mega,Tapu Lele,Toxapex,Kartana,Tornadus,Oricorio,Kecleon,Vivillon,Rhydon
cherryfizzzz's Season 3,Sneasler,Deoxys-Defense,Corviknight,Barraskewda,Eldegoss,Moltres-Galar,Rillaboom,Clefable,Glalie-Mega,Drakloak,Mudsdale
WorstAsset's Season 3,Gouging Fire,Diancie-Mega,Samurott-Hisui,Chandelure,Skarmory,Excadrill,Tangrowth,Florges,Rotom-Frost,Haunter,
CybOrganist's Season 3,Zapdos,Kyurem,Forretress,Silvally,Noivern,Clodsire,Bisharp,Froslass,Diancie,Cursola,Aerodactyl-Mega
Xen's Season 3,Spectrier,Gholdengo,Hawlucha,Suicune,Tapu Fini,Ogerpon-Hearthflame,Celebi,Goodra,Stunfisk,Guzzlord,
Stee's Season 3,Raging Bolt,Blastoise,Tornadus-Therian,Weavile,Latias,Empoleon,Sceptile-Mega,Shuckle,Golem-Alola,Buzzwole,Garganacl
